Contig	Domain	Phylum	Class	Order	Family	Genus	Species
NODE_1346_length_12224_cov_11.623716	Archaea	Euryarchaeota	Halobacteria				
NODE_13470_length_3045_cov_12.633110	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_13481_length_2617_cov_47.620219	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_134_length_39699_cov_10.715190	Archaea	Euryarchaeota	Halobacteria				
NODE_13518_length_2613_cov_13.514464	Archaea	Euryarchaeota	Halobacteria				
NODE_13525_length_3037_cov_11.133803	Archaea	Euryarchaeota	Halobacteria				
NODE_13525_length_3433_cov_41.529603	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_1352_length_12198_cov_11.623240	Archaea	Euryarchaeota	Halobacteria				
NODE_13532_length_3403_cov_11.481183	Archaea	Euryarchaeota	Halobacteria				
NODE_13556_length_3009_cov_4.381855	Archaea	Euryarchaeota	Halobacteria				
NODE_1355_length_13508_cov_9.343120	Archaea	Euryarchaeota	Halobacteria				
NODE_13561_length_2574_cov_7.335451	Archaea	Euryarchaeota	Halobacteria				
NODE_13568_length_2608_cov_16.363886	Archaea	Euryarchaeota	Halobacteria				
NODE_1356_length_13507_cov_86.639384	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_13577_length_3016_cov_10.385681	Archaea	Euryarchaeota	Halobacteria				
NODE_13577_length_3396_cov_11.050883	Archaea	Euryarchaeota	Halobacteria				
NODE_13599_length_3181_cov_102.601088	Archaea	Euryarchaeota	Halobacteria				
NODE_13607_length_3010_cov_10.533333	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_13609_length_3026_cov_7.053854	Archaea	Euryarchaeota	Halobacteria				
NODE_13632_length_3175_cov_83.965705	Archaea	Euryarchaeota	Halobacteria				
NODE_13655_length_3384_cov_12.513968	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_1365_length_11073_cov_9.754311	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_1366_length_12742_cov_8.666903	Archaea	Euryarchaeota	Halobacteria				
NODE_13679_length_3379_cov_65.748496	Archaea	Euryarchaeota	Halobacteria				
NODE_13681_length_2595_cov_20.179921	Archaea	Euryarchaeota	Halobacteria				
NODE_13689_length_3378_cov_67.256696	Archaea	Euryarchaeota	Halobacteria				
NODE_1369_length_13609_cov_39.945108	Archaea	Euryarchaeota	Halobacteria				
NODE_13703_length_2592_cov_17.928262	Archaea	Euryarchaeota	Halobacteria				
NODE_13713_length_2991_cov_13.886921	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_1371_length_12114_cov_16.076043	Archaea	Euryarchaeota	Halobacteria				
NODE_13739_length_2589_cov_15.966851	Archaea	Euryarchaeota	Halobacteria				
NODE_13740_length_2589_cov_11.627466	Archaea	Euryarchaeota	Halobacteria				
NODE_1374_length_11036_cov_14.767599	Archaea	Euryarchaeota	Halobacteria				
NODE_1374_length_12098_cov_6.530848	Archaea	Euryarchaeota	Halobacteria	Haloferacales	halophilic archaeon DL31		
NODE_1375_length_12706_cov_11.872500	Archaea	Euryarchaeota	Halobacteria				
NODE_13767_length_2314_cov_9.107570	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_13773_length_2586_cov_20.758593	Archaea	Euryarchaeota	Halobacteria				
NODE_1377_length_8720_cov_10.770571	Archaea	Euryarchaeota	Halobacteria				
NODE_1378_length_12686_cov_9.632096	Archaea	Euryarchaeota	Halobacteria				
NODE_1379_length_8707_cov_9.960009	Archaea	Euryarchaeota	Halobacteria				
NODE_137_length_39461_cov_11.175862	Archaea	Euryarchaeota	Halobacteria				
NODE_13805_length_3356_cov_10.606180	Archaea	Euryarchaeota	Halobacteria				
NODE_1380_length_10358_cov_11.040377	Archaea	Euryarchaeota	Halobacteria				
NODE_13817_length_3385_cov_43.822523	Archaea	Euryarchaeota	Halobacteria				
NODE_13835_length_2543_cov_5.432074	Archaea	Euryarchaeota	Halobacteria				
NODE_13837_length_2579_cov_10.029715	Archaea	Euryarchaeota	Halobacteria				
NODE_1383_length_10353_cov_10.010002	Archaea	Euryarchaeota	Halobacteria				
NODE_13858_length_3144_cov_7.656847	Archaea	Euryarchaeota	Halobacteria				
NODE_1385_length_13365_cov_87.042900	Archaea	Euryarchaeota	Halobacteria				
NODE_1385_length_9294_cov_17.377205	Archaea	Euryarchaeota	Halobacteria				
NODE_13865_length_2991_cov_9.518052	Archaea	Euryarchaeota	Halobacteria				
NODE_1386_length_12052_cov_7.693673	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_13873_length_3032_cov_16.182062	Archaea	Euryarchaeota	Halobacteria				
NODE_1387_length_9289_cov_17.780377	Archaea	Euryarchaeota	Halobacteria				
NODE_13885_length_3031_cov_14.688508	Archaea	Euryarchaeota	Halobacteria				
NODE_13886_length_2302_cov_8.690699	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_13905_length_3368_cov_49.634470	Archaea	Euryarchaeota	Halobacteria				
NODE_13917_length_2568_cov_14.885396	Archaea	Euryarchaeota	Halobacteria				
NODE_1391_length_8654_cov_11.821491	Archaea	Euryarchaeota	Halobacteria				
NODE_13920_length_2985_cov_9.296246	Archaea	Euryarchaeota	Halobacteria				
NODE_13923_length_3024_cov_13.862243	Archaea	Euryarchaeota	Halobacteria				
NODE_13928_length_2532_cov_7.142915	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_1393_length_10334_cov_10.758829	Archaea	Euryarchaeota	Halobacteria				
NODE_1393_length_10984_cov_10.180620	Archaea	Euryarchaeota	Halobacteria				
NODE_13940_length_2982_cov_9.091561	Archaea	Euryarchaeota	Halobacteria				
NODE_13957_length_3020_cov_13.781113	Archaea	Euryarchaeota	Halobacteria				
NODE_13970_length_2956_cov_4.794209	Archaea	Euryarchaeota	Halobacteria				
NODE_13972_length_2617_cov_3.506635	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_13972_length_3357_cov_49.517262	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_1397_length_9270_cov_19.304286	Archaea	Euryarchaeota	Halobacteria				
NODE_1398_length_10313_cov_9.457009	Archaea	Euryarchaeota	Halobacteria				
NODE_1398_length_8635_cov_12.810023	Archaea	Euryarchaeota	Halobacteria				
NODE_13_length_68620_cov_9.343193	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_13_length_79162_cov_40.664581	Archaea	Euryarchaeota	Halobacteria				
NODE_14002_length_3319_cov_10.897059	Archaea	Euryarchaeota	Halobacteria				
NODE_14003_length_2291_cov_10.851521	Archaea	Euryarchaeota	Halobacteria				
NODE_14009_length_2559_cov_19.631390	Archaea	Euryarchaeota	Halobacteria				
NODE_1400_length_10160_cov_4.553884	Archaea	Euryarchaeota	Halobacteria				
NODE_1401_length_8619_cov_10.467422	Archaea	Euryarchaeota	Halobacteria				
NODE_14027_length_2557_cov_17.700639	Archaea	Euryarchaeota	Halobacteria				
NODE_1403_length_9251_cov_9.805024	Archaea	Euryarchaeota	Halobacteria				
NODE_1406_length_10919_cov_14.761598	Archaea	Euryarchaeota	Halobacteria				
NODE_1406_length_13237_cov_73.469580	Archaea	Euryarchaeota	Halobacteria				
NODE_14070_length_3309_cov_12.239705	Archaea	Euryarchaeota	Halobacteria				
NODE_14079_length_2941_cov_9.604297	Archaea	Euryarchaeota	Halobacteria				
NODE_1407_length_10285_cov_10.500489	Archaea	Euryarchaeota	Halobacteria				
NODE_14080_length_3307_cov_8.350554	Archaea	Euryarchaeota	Halobacteria				
NODE_14087_length_2551_cov_17.844151	Archaea	Euryarchaeota	Halobacteria				
NODE_14087_length_3306_cov_12.750538	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae		
NODE_14088_length_2379_cov_16.750861	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_1408_length_8598_cov_11.383355	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_14107_length_3303_cov_10.461515	Archaea	Euryarchaeota	Halobacteria				
NODE_1410_length_12553_cov_8.728116	Archaea	Euryarchaeota	Halobacteria				
NODE_1410_length_9237_cov_16.182967	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_14114_length_2548_cov_10.239069	Archaea	Euryarchaeota	Halobacteria				
NODE_14119_length_3300_cov_76.477042	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_14121_length_3108_cov_16.032100	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_1413_length_9229_cov_41.857641	Archaea	Euryarchaeota	Halobacteria				
NODE_14145_length_2545_cov_19.275100	Archaea	Euryarchaeota	Halobacteria				
NODE_14147_length_2545_cov_11.031727	Archaea	Euryarchaeota	Halobacteria				
NODE_14157_length_2931_cov_8.882128	Archaea	Euryarchaeota	Halobacteria				
NODE_14173_length_3292_cov_12.168366	Archaea	Euryarchaeota	Halobacteria				
NODE_14175_length_2369_cov_10.191443	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_14184_length_3320_cov_48.353446	Archaea	Euryarchaeota	Halobacteria				
NODE_1418_length_9197_cov_43.350908	Archaea	Euryarchaeota	Halobacteria				
NODE_14194_length_2988_cov_32.347767	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_14195_length_2951_cov_13.905041	Archaea	Euryarchaeota	Halobacteria				
NODE_141_length_26791_cov_16.420407	Archaea	Euryarchaeota	Halobacteria				
NODE_14218_length_3315_cov_43.516258	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_14235_length_2946_cov_10.301280	Archaea	Euryarchaeota	Halobacteria				
NODE_14236_length_2920_cov_15.326353	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloprofundus	Haloprofundus sp. MHR1
NODE_14244_length_2919_cov_9.916550	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_14247_length_2534_cov_16.237999	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_14253_length_2359_cov_20.680990	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus	Halorussus sp. RC-68
NODE_14253_length_3279_cov_9.694479	Archaea	Euryarchaeota	Halobacteria				
NODE_1427_length_12484_cov_11.046263	Archaea	Euryarchaeota	Halobacteria				
NODE_14282_length_3307_cov_33.598708	Archaea	Euryarchaeota	Halobacteria				
NODE_14301_length_2528_cov_14.820057	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrarchaeobaculum	Natrarchaeobaculum aegyptiacum
NODE_14304_length_3082_cov_7.419227	Archaea	Euryarchaeota	Halobacteria				
NODE_14305_length_2527_cov_29.781958	Archaea	Euryarchaeota	Halobacteria				
NODE_14310_length_3269_cov_10.120100	Archaea	Euryarchaeota	Halobacteria				
NODE_1431_length_12475_cov_8.910386	Archaea	Euryarchaeota	Halobacteria				
NODE_14321_length_3301_cov_49.006161	Archaea	Euryarchaeota	Halobacteria				
NODE_14335_length_3265_cov_67.061059	Archaea	Euryarchaeota	Halobacteria				
NODE_14346_length_2964_cov_14.524923	Archaea	Euryarchaeota	Halobacteria				
NODE_14357_length_2521_cov_16.844282	Archaea	Euryarchaeota	Halobacteria				
NODE_14358_length_2521_cov_16.588808	Archaea	Euryarchaeota	Halobacteria				
NODE_14358_length_2932_cov_10.009037	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_14359_length_3295_cov_39.181790	Archaea	Euryarchaeota	Halobacteria				
NODE_14362_length_3260_cov_78.388456	Archaea	Euryarchaeota	Halobacteria				
NODE_14363_length_3260_cov_72.888300	Archaea	Euryarchaeota	Halobacteria				
NODE_14366_length_2520_cov_11.181339	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_14383_length_2484_cov_10.152738	Archaea	Euryarchaeota	Halobacteria				
NODE_14385_length_3256_cov_10.389566	Archaea	Euryarchaeota	Halobacteria				
NODE_14388_length_2928_cov_10.589976	Archaea	Euryarchaeota	Halobacteria				
NODE_1438_length_11775_cov_7.597270	Archaea	Euryarchaeota	Halobacteria				
NODE_14403_length_2252_cov_11.562130	Archaea	Euryarchaeota	Halobacteria				
NODE_14409_length_3067_cov_9.494688	Archaea	Euryarchaeota	Halobacteria				
NODE_1441_length_8419_cov_12.826997	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_1441_length_9123_cov_18.436259	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_14420_length_2924_cov_10.058208	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_14430_length_3249_cov_9.685661	Archaea	Euryarchaeota	Halobacteria				
NODE_1443_length_8405_cov_11.492934	Archaea	Euryarchaeota	Halobacteria				
NODE_1443_length_9120_cov_16.202758	Archaea	Euryarchaeota	Halobacteria				
NODE_14443_length_3279_cov_36.914392	Archaea	Euryarchaeota	Halobacteria				
NODE_14448_length_2513_cov_11.332384	Archaea	Euryarchaeota	Halobacteria				
NODE_14450_length_2513_cov_9.777055	Archaea	Euryarchaeota	Halobacteria				
NODE_1445_length_10089_cov_12.155471	Archaea	Euryarchaeota	Halobacteria				
NODE_1446_length_11755_cov_100.755128	Archaea	Euryarchaeota	Halobacteria				
NODE_1447_length_9102_cov_16.226594	Archaea	Euryarchaeota	Halobacteria				
NODE_1450_length_10081_cov_10.761021	Archaea	Euryarchaeota	Halobacteria				
NODE_14512_length_2885_cov_7.312721	Archaea	Euryarchaeota	Halobacteria				
NODE_14524_length_3237_cov_8.558768	Archaea	Euryarchaeota	Halobacteria				
NODE_14525_length_3267_cov_42.010897	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_14530_length_2505_cov_15.530204	Archaea	Euryarchaeota	Halobacteria				
NODE_14534_length_2882_cov_7.326495	Archaea	Euryarchaeota	Halobacteria				
NODE_1453_length_9083_cov_19.786110	Archaea	Euryarchaeota	Halobacteria				
NODE_14551_length_2467_cov_9.430763	Archaea	Euryarchaeota	Halobacteria				
NODE_14557_length_2502_cov_15.355537	Archaea	Euryarchaeota	Halobacteria				
NODE_14574_length_2935_cov_13.043056	Archaea	Euryarchaeota	Halobacteria				
NODE_14586_length_3226_cov_65.324188	Archaea	Euryarchaeota	Halobacteria				
NODE_14587_length_2500_cov_17.219632	Archaea	Euryarchaeota	Halobacteria				
NODE_145_length_26475_cov_17.095534	Archaea	Euryarchaeota	Halobacteria				
NODE_1460_length_12291_cov_9.101667	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_14617_length_3039_cov_28.456434	Archaea	Euryarchaeota	Halobacteria				
NODE_14636_length_3218_cov_11.761935	Archaea	Euryarchaeota	Halobacteria				
NODE_14637_length_2495_cov_13.236475	Archaea	Euryarchaeota	Halobacteria				
NODE_1463_length_9057_cov_16.499445	Archaea	Euryarchaeota	Halobacteria				
NODE_14647_length_2494_cov_19.385404	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_14650_length_2317_cov_10.742263	Archaea	Euryarchaeota	Halobacteria				
NODE_14654_length_2894_cov_11.233885	Archaea	Euryarchaeota	Halobacteria				
NODE_14658_length_2493_cov_15.158326	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_14662_length_2893_cov_8.564834	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_14664_length_2492_cov_19.422651	Archaea	Euryarchaeota	Halobacteria				
NODE_14693_length_2223_cov_11.279059	Archaea	Euryarchaeota	Halobacteria				
NODE_1469_length_10486_cov_8.369859	Archaea	Euryarchaeota	Halobacteria				
NODE_14706_length_2309_cov_11.008429	Archaea	Euryarchaeota	Halobacteria				
NODE_14708_length_2222_cov_8.351638	Archaea	Euryarchaeota	Halobacteria				
NODE_14708_length_2857_cov_10.192719	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	Halorientalis sp. IM1011
NODE_14711_length_2888_cov_11.268267	Archaea	Euryarchaeota	Halobacteria				
NODE_14717_length_2913_cov_9.892582	Archaea	Euryarchaeota	Halobacteria				
NODE_14723_length_2912_cov_25.558628	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_14738_length_2484_cov_17.298888	Archaea	Euryarchaeota	Halobacteria				
NODE_14742_length_2884_cov_9.218452	Archaea	Euryarchaeota	Halobacteria				
NODE_14747_length_2909_cov_17.050806	Archaea	Euryarchaeota	Halobacteria				
NODE_14747_length_3233_cov_42.141598	Archaea	Euryarchaeota	Halobacteria				
NODE_14750_length_2483_cov_14.142916	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_14762_length_2482_cov_18.619695	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_1476_length_11581_cov_10.185494	Archaea	Euryarchaeota	Halobacteria				
NODE_14772_length_3197_cov_63.753024	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_1477_length_8314_cov_12.473665	Archaea	Euryarchaeota	Halobacteria				
NODE_14786_length_3195_cov_76.882166	Archaea	Euryarchaeota	Halobacteria				
NODE_14787_length_2904_cov_15.586522	Archaea	Euryarchaeota	Halobacteria				
NODE_14794_length_2477_cov_18.500000	Archaea	Euryarchaeota	Halobacteria				
NODE_14795_length_3194_cov_66.741637	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_14803_length_2441_cov_5.625314	Archaea	Euryarchaeota	Halobacteria				
NODE_14805_length_3192_cov_70.904686	Archaea	Euryarchaeota	Halobacteria				
NODE_14825_length_3013_cov_7.519270	Archaea	Euryarchaeota	Halobacteria				
NODE_14840_length_2437_cov_7.516373	Archaea	Euryarchaeota	Halobacteria				
NODE_14848_length_2209_cov_9.986072	Archaea	Euryarchaeota	Halobacteria				
NODE_1484_length_8299_cov_10.958637	Archaea	Euryarchaeota	Halobacteria				
NODE_14853_length_3185_cov_21.886262	Archaea	Euryarchaeota	Halobacteria				
NODE_14857_length_2208_cov_14.003251	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_1485_length_8973_cov_44.975219	Archaea	Euryarchaeota	Halobacteria				
NODE_1486_length_8972_cov_17.466637	Archaea	Euryarchaeota	Halobacteria				
NODE_14872_length_2834_cov_9.875855	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_1487_length_12133_cov_8.670972	Archaea	Euryarchaeota	Halobacteria				
NODE_1488_length_12124_cov_8.358025	Archaea	Euryarchaeota	Halobacteria				
NODE_14896_length_2867_cov_13.203770	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_1489_length_10379_cov_6.918442	Archaea	Euryarchaeota	Halobacteria				
NODE_14900_length_3210_cov_44.667829	Archaea	Euryarchaeota	Halobacteria				
NODE_14906_length_2829_cov_7.278298	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_14916_length_3175_cov_62.638141	Archaea	Euryarchaeota	Halobacteria				
NODE_1491_length_9876_cov_11.370431	Archaea	Euryarchaeota	Halobacteria				
NODE_14921_length_2465_cov_14.814938	Archaea	Euryarchaeota	Halobacteria				
NODE_14923_length_2465_cov_12.267220	Archaea	Euryarchaeota	Halobacteria				
NODE_1492_length_8277_cov_11.069205	Archaea	Euryarchaeota	Halobacteria				
NODE_14936_length_3172_cov_7.704844	Archaea	Euryarchaeota	Halobacteria				
NODE_14942_length_2463_cov_17.333887	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_14947_length_2201_cov_9.514911	Archaea	Euryarchaeota	Halobacteria				
NODE_14959_length_2461_cov_16.110557	Archaea	Euryarchaeota	Halobacteria				
NODE_1495_length_12847_cov_71.307849	Archaea	Euryarchaeota	Halobacteria				
NODE_14968_length_3200_cov_36.716057	Archaea	Euryarchaeota	Halobacteria	Halobacteriales			
NODE_14977_length_3164_cov_72.106465	Archaea	Euryarchaeota	Halobacteria				
NODE_14985_length_3163_cov_10.161519	Archaea	Euryarchaeota	Halobacteria				
NODE_14990_length_2458_cov_16.680816	Archaea	Euryarchaeota	Halobacteria				
NODE_14998_length_2854_cov_7.325831	Archaea	Euryarchaeota	Halobacteria				
NODE_14_length_66367_cov_10.401828	Archaea	Euryarchaeota	Halobacteria				
NODE_15019_length_2833_cov_3.379770	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_15025_length_3157_cov_8.899742	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_15030_length_2455_cov_16.000000	Archaea	Euryarchaeota	Halobacteria				
NODE_15036_length_3189_cov_38.823548	Archaea	Euryarchaeota	Halobacteria				
NODE_15049_length_2492_cov_4.067706	Archaea	Euryarchaeota	Halobacteria				
NODE_15065_length_2844_cov_15.257440	Archaea	Euryarchaeota	Halobacteria				
NODE_1507_length_8898_cov_20.165668	Archaea	Euryarchaeota	Halobacteria				
NODE_15083_length_3148_cov_12.163595	Archaea	Euryarchaeota	Halobacteria				
NODE_15091_length_2449_cov_21.583124	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_15095_length_2841_cov_9.377602	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_1509_length_8893_cov_14.798710	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_15100_length_3179_cov_43.009283	Archaea	Euryarchaeota	Halobacteria				
NODE_15109_length_2186_cov_8.145472	Archaea	Euryarchaeota	Halobacteria				
NODE_15119_length_2447_cov_10.758361	Archaea	Euryarchaeota	Halobacteria				
NODE_1512_length_11438_cov_10.716858	Archaea	Euryarchaeota	Halobacteria				
NODE_15143_length_2444_cov_10.113855	Archaea	Euryarchaeota	Halobacteria				
NODE_15166_length_3168_cov_45.584324	Archaea	Euryarchaeota	Halobacteria				
NODE_1516_length_10293_cov_7.334831	Archaea	Euryarchaeota	Halobacteria				
NODE_1518_length_8862_cov_17.562166	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae		
NODE_15191_length_2829_cov_10.254146	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum	Salinigranum rubrum
NODE_15204_length_2958_cov_6.697899	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_15205_length_2438_cov_14.927402	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	Halorientalis sp. IM1011
NODE_15217_length_2437_cov_16.995802	Archaea	Euryarchaeota	Halobacteria				
NODE_15220_length_3160_cov_45.690499	Archaea	Euryarchaeota	Halobacteria				
NODE_15221_length_2826_cov_10.981234	Archaea	Euryarchaeota	Halobacteria	Haloferacales			
NODE_15230_length_3126_cov_8.398567	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_15232_length_2785_cov_8.419780	Archaea	Euryarchaeota	Halobacteria				
NODE_15237_length_2953_cov_12.187716	Archaea	Euryarchaeota	Halobacteria				
NODE_15244_length_2784_cov_9.034445	Archaea	Euryarchaeota	Halobacteria				
NODE_15263_length_2252_cov_13.802003	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus	Halorussus sp. RC-68
NODE_15263_length_2782_cov_10.439677	Archaea	Euryarchaeota	Halobacteria				
NODE_1526_length_8153_cov_10.949247	Archaea	Euryarchaeota	Halobacteria				
NODE_15275_length_2845_cov_16.365591	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_1527_length_8825_cov_11.849487	Archaea	Euryarchaeota	Halobacteria				
NODE_15281_length_2844_cov_10.981714	Archaea	Euryarchaeota	Halobacteria				
NODE_1528_length_8820_cov_16.669595	Archaea	Euryarchaeota	Halobacteria				
NODE_15292_length_3116_cov_14.585756	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae		
NODE_15293_length_2429_cov_16.032435	Archaea	Euryarchaeota	Halobacteria				
NODE_152_length_42414_cov_85.149579	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_15316_length_2775_cov_8.020588	Archaea	Euryarchaeota	Halobacteria	Haloferacales	halophilic archaeon DL31		
NODE_1531_length_11979_cov_9.560466	Archaea	Euryarchaeota	Halobacteria				
NODE_15334_length_2940_cov_17.042981	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	Halorientalis sp. IM1011
NODE_15334_length_3110_cov_11.787234	Archaea	Euryarchaeota	Halobacteria				
NODE_15343_length_3109_cov_11.754748	Archaea	Euryarchaeota	Halobacteria				
NODE_15355_length_2168_cov_11.280170	Archaea	Euryarchaeota	Halobacteria				
NODE_15356_length_2769_cov_8.819086	Archaea	Euryarchaeota	Halobacteria				
NODE_15358_length_2809_cov_8.238562	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_15373_length_2421_cov_17.975486	Archaea	Euryarchaeota	Halobacteria				
NODE_1537_length_11340_cov_7.198316	Archaea	Euryarchaeota	Halobacteria				
NODE_15381_length_3102_cov_11.542501	Archaea	Euryarchaeota	Halobacteria				
NODE_1538_length_10507_cov_15.124856	Archaea	Euryarchaeota	Halobacteria				
NODE_15391_length_3129_cov_45.897853	Archaea	Euryarchaeota	Halobacteria				
NODE_15402_length_2164_cov_17.352774	Archaea	Euryarchaeota	Halobacteria				
NODE_15415_length_2803_cov_14.219432	Archaea	Euryarchaeota	Halobacteria				
NODE_1541_length_9675_cov_8.321206	Archaea	Euryarchaeota	Halobacteria				
NODE_15421_length_2417_cov_15.720152	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae		
NODE_15427_length_3096_cov_11.453469	Archaea	Euryarchaeota	Halobacteria				
NODE_15443_length_2415_cov_10.750000	Archaea	Euryarchaeota	Halobacteria				
NODE_1545_length_10120_cov_4.333333	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_15477_length_2755_cov_7.942222	Archaea	Euryarchaeota	Halobacteria				
NODE_15479_length_3089_cov_11.599868	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_15497_length_2752_cov_10.244716	Archaea	Euryarchaeota	Halobacteria				
NODE_154_length_34110_cov_12.979034	Archaea	Euryarchaeota	Halobacteria				
NODE_15503_length_2371_cov_6.669257	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae		
NODE_15518_length_2409_cov_19.846644	Archaea	Euryarchaeota	Halobacteria				
NODE_15519_length_2229_cov_9.729991	Archaea	Euryarchaeota	Halobacteria				
NODE_15529_length_2408_cov_14.155121	Archaea	Euryarchaeota	Halobacteria				
NODE_15549_length_2367_cov_7.308391	Archaea	Euryarchaeota	Halobacteria				
NODE_1554_length_10431_cov_9.137722	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae		
NODE_15554_length_2785_cov_9.289744	Archaea	Euryarchaeota	Halobacteria				
NODE_1556_length_10084_cov_3.858111	Archaea	Euryarchaeota	Nanohaloarchaea	Nanohaloarchaea archaeon SG9			
NODE_15573_length_2405_cov_19.038298	Archaea	Euryarchaeota	Halobacteria				
NODE_15587_length_2404_cov_10.815241	Archaea	Euryarchaeota	Halobacteria				
NODE_15596_length_2804_cov_16.681339	Archaea	Euryarchaeota	Halobacteria				
