KO_ID	Function Name	AL1	AL3	AL4	CH1	CH2	CH3	SG1	SG2	SG3	SG4	SG5	SGT1	SGT2	SGT3	YG1	YG2	YG3
K07406	alpha-galactosidase [EC:3.2.1.22]	8	14	14	17	16	2	15	9	15	13	14	8	15	13	13	16	7
K07407	alpha-galactosidase [EC:3.2.1.22]	3	8	12	9	9	2	5	10	4	9	7	3	1	8	14	6	4
K07432	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1
K07441	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K07442	tRNA (adenine57-N1/adenine58-N1)-methyltransferase [EC:2.1.1.219 2.1.1.220]	20	32	36	27	22	15	22	28	14	30	22	12	28	32	44	24	23
K07443	methylated-DNA-protein-cysteine methyltransferase related protein	1	0	1	1	0	0	1	0	0	1	1	2	1	1	0	1	1
K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	3	6	5	10	4	4	6	6	4	5	6	9	13	10	5	6	3
K07445	putative DNA methylase	2	2	2	2	4	2	3	6	2	3	3	2	3	2	6	4	2
K07446	tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]	24	27	33	27	20	10	18	21	9	26	20	12	35	29	34	21	17
K07447	putative holliday junction resolvase [EC:3.1.-.-]	6	12	12	11	10	6	10	13	5	11	11	11	10	13	12	11	7
K07448	restriction system protein	5	10	11	9	12	5	7	12	1	9	13	5	6	8	10	8	7
K07450	putative resolvase	0	2	3	2	4	0	8	6	0	2	5	5	3	7	1	3	2
K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	4	4	6	4	5	0	4	7	1	3	4	4	4	4	6	4	1
K07452	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	8	7	13	9	12	4	7	15	4	10	9	9	6	12	10	5	6
K07454	putative restriction endonuclease	12	9	11	4	4	4	3	8	4	9	10	2	3	7	13	5	10
K07455	recombination protein RecT	2	0	1	1	0	2	1	0	0	0	0	1	1	0	3	0	3
K07456	DNA mismatch repair protein MutS2	8	11	10	15	8	7	9	12	9	10	12	14	14	12	11	11	7
K07457	endonuclease III related protein	0	2	1	4	1	0	0	1	0	1	1	0	3	3	1	1	0
K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]	2	3	1	6	1	2	2	3	2	1	4	5	6	3	0	0	4
K07459	putative ATP-dependent endonuclease of the OLD family	0	2	0	2	1	2	0	0	0	1	1	2	2	1	0	0	1
K07460	putative endonuclease	5	11	10	14	8	6	8	10	6	15	10	11	8	11	12	10	8
K07461	putative endonuclease	22	28	42	38	33	15	32	32	19	39	38	30	42	41	40	30	18
K07462	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	9	15	14	25	16	6	18	12	8	21	16	20	21	23	11	13	9
K07463	archaea-specific RecJ-like exonuclease	50	73	82	78	60	27	63	56	24	72	69	50	77	74	82	56	56
K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	49	66	82	78	60	18	52	65	34	58	79	41	65	66	88	60	48
K07465	putative RecB family exonuclease	7	10	9	4	5	2	5	8	3	5	7	5	3	9	8	7	6
K07466	replication factor A1	63	83	112	96	69	27	69	68	34	90	89	41	96	78	112	76	57
K07468	putative ATP-dependent DNA ligase [EC:6.5.1.1]	2	6	5	2	4	0	2	4	2	3	1	1	4	3	5	2	3
K07472	TBP-interacting protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07473	DNA-damage-inducible protein J	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
K07474	phage terminase small subunit	0	2	3	3	3	0	3	1	1	2	2	1	0	3	2	2	0
K07475	CRISPR-associated endonuclease Cas3-HD [EC:3.1.-.-]	19	29	23	13	21	6	19	22	9	18	27	11	14	22	20	13	12
K07477	translin	1	0	2	1	1	0	1	1	0	2	0	1	2	1	2	0	1
K07478	putative ATPase	6	11	9	10	10	5	11	10	7	11	10	8	12	8	11	10	11
K07480	insertion element IS1 protein InsB	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1
K07481	transposase, IS5 family	23	19	23	19	14	4	13	16	3	9	20	11	12	15	23	14	10
K07482	transposase, IS30 family	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07483	transposase	8	10	5	19	7	7	15	12	4	11	14	11	6	11	15	11	8
K07484	transposase	2	8	1	7	3	2	4	6	2	3	4	11	14	9	6	8	4
K07485	transposase	2	5	0	6	0	1	1	5	0	6	1	2	0	2	4	3	1
K07486	transposase	1	6	6	13	9	2	13	11	5	8	5	15	13	14	10	7	4
K07487	transposase	1	2	0	0	1	0	0	3	0	1	1	0	0	1	1	0	0
K07488	transposase	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
K07489	transposase	3	2	4	3	3	4	3	2	0	3	6	2	3	4	1	2	1
K07491	putative transposase	26	25	37	40	28	10	26	31	15	22	30	35	39	36	35	24	20
K07492	putative transposase	12	12	15	21	20	12	22	24	10	20	23	18	19	20	21	24	10
K07493	putative transposase	1	0	1	2	0	0	1	0	0	1	0	1	0	0	0	0	1
K07494	putative transposase	1	1	0	3	0	0	1	1	1	0	0	0	1	0	0	2	1
K07495	putative transposase	13	13	24	8	12	4	5	12	4	12	22	5	8	12	8	8	8
K07496	putative transposase	136	129	239	175	177	83	142	134	120	135	193	125	163	180	187	126	71
K07497	putative transposase	9	15	11	29	11	11	12	23	8	19	16	22	18	18	20	16	18
K07498	putative transposase	51	56	62	39	56	10	39	46	23	38	69	41	30	55	63	37	25
K07499	putative transposase	3	2	1	4	4	1	3	2	2	3	4	4	4	6	2	4	0
K07501	3'-5' exonuclease	1	2	2	2	3	0	3	3	0	4	2	4	3	1	4	2	1
K07502	uncharacterized protein	19	31	36	34	25	7	29	27	9	32	29	15	34	34	40	29	20
K07503	endonuclease [EC:3.1.-.-]	35	42	38	35	28	12	21	35	11	33	30	22	29	29	53	26	26
K07504	predicted type IV restriction endonuclease	9	9	22	21	15	7	17	21	11	16	19	11	16	23	17	13	9
K07505	regulatory protein RepA	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
K07506	AraC family transcriptional regulator	5	9	5	6	5	2	6	4	4	7	6	8	6	8	5	6	5
K07507	putative Mg2+ transporter-C (MgtC) family protein	2	3	2	5	2	1	3	3	2	5	2	3	2	2	5	3	3
K07509	acetyl-CoA acyltransferase [EC:2.3.1.16]	3	5	5	9	5	4	5	7	4	7	7	5	8	6	6	6	4
K07512	mitochondrial trans-2-enoyl-CoA reductase [EC:1.3.1.38]	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1
K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	6	7	12	9	6	4	8	7	3	8	9	9	4	9	9	11	4
K07533	foldase protein PrsA [EC:5.2.1.8]	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0
K07535	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]	2	2	3	2	0	0	1	3	2	2	4	2	1	2	4	1	1
K07542	phosphatidylinositol glycan, class V [EC:2.4.1.-]	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
K07543	benzylsuccinate CoA-transferase BbsE subunit [EC:2.8.3.15]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K07544	benzylsuccinate CoA-transferase BbsF subunit [EC:2.8.3.15]	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
K07546	E-phenylitaconyl-CoA hydratase [EC:4.2.1.-]	1	1	0	1	1	0	1	1	0	2	1	1	1	1	1	1	0
K07549	benzoylsuccinyl-CoA thiolase BbsA subunit [EC:2.3.1.-]	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K07552	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein	0	1	1	2	1	0	0	1	0	1	0	2	2	2	1	1	0
K07556	ATP synthase mitochondrial F1 complex assembly factor 2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K07557	archaeosine synthase [EC:2.6.1.97]	27	34	43	40	27	16	29	31	11	30	37	17	36	38	41	25	24
K07558	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]	29	31	33	33	24	10	24	27	10	32	33	20	37	36	45	24	22
K07559	putative RNA 2'-phosphotransferase [EC:2.7.1.-]	11	8	16	5	11	6	7	7	3	10	6	5	10	10	11	6	6
K07560	D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	5	10	10	13	9	4	8	10	7	11	10	12	6	12	12	10	6
K07561	2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]	20	34	36	36	28	9	24	29	15	33	34	11	41	35	41	19	19
K07562	nonsense-mediated mRNA decay protein 3	18	31	35	29	31	11	20	24	10	33	29	20	36	32	37	25	23
K07565	60S ribosome subunit biogenesis protein NIP7	1	2	2	2	0	0	2	2	2	0	2	2	2	2	2	1	2
K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	30	38	43	44	36	13	39	37	18	40	40	32	43	39	48	34	25
K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	4	10	8	14	7	7	10	11	6	11	10	12	7	12	12	9	6
K07569	RNA-binding protein	11	24	27	32	24	10	22	19	9	24	26	18	30	24	26	21	17
K07571	S1 RNA binding domain protein	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2
K07572	putative nucleotide binding protein	18	27	30	31	22	6	26	28	7	28	27	14	31	33	39	16	22
K07573	exosome complex component CSL4	0	0	2	1	0	0	1	1	0	2	1	1	1	1	2	0	1
K07574	RNA-binding protein	18	27	34	28	20	10	19	18	10	26	31	17	36	32	39	18	18
K07575	PUA domain protein	15	24	30	23	22	11	20	25	9	27	24	14	32	29	28	21	16
K07576	metallo-beta-lactamase family protein	5	5	2	1	5	0	1	4	4	4	5	3	0	4	2	4	3
K07577	putative mRNA 3-end processing factor	62	66	72	68	49	18	50	59	20	61	58	39	53	54	83	44	44
K07579	putative methylase	19	26	28	33	24	12	29	24	10	32	29	18	29	38	35	26	16
K07580	Zn-ribbon RNA-binding protein	10	17	19	21	16	4	12	14	7	17	23	8	17	19	21	17	13
K07581	RNA-binding protein	18	26	34	31	16	7	24	25	11	26	28	16	36	31	31	16	15
K07583	tRNA pseudouridine synthase 10 [EC:5.4.99.-]	24	30	37	37	25	18	31	27	12	34	27	17	36	36	47	27	20
K07585	tRNA methyltransferase	11	16	20	19	12	5	10	9	4	16	17	10	15	18	15	10	7
K07588	LAO/AO transport system kinase [EC:2.7.-.-]	25	50	56	44	28	17	37	40	21	43	40	21	35	41	48	30	26
K07589	D-erythro-7,8-dihydroneopterin triphosphate epimerase [EC:5.-.-.-]	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1
K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	4	9	10	14	8	6	14	9	6	14	10	10	12	6	11	11	7
K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	1	0	2	3	1	0	1	1	2	1	1	2	1	1	1	2	3
K07648	two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K07651	two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
K07653	two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
K07657	two-component system, OmpR family, phosphate regulon response regulator PhoB	3	11	10	14	8	8	10	9	5	9	9	10	13	7	8	8	4
K07658	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	5	6	7	9	4	5	6	7	4	9	7	5	5	7	7	7	4
K07660	two-component system, OmpR family, response regulator PhoP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K07667	two-component system, OmpR family, KDP operon response regulator KdpE	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
K07668	two-component system, OmpR family, response regulator VicR	1	0	0	1	1	0	1	1	0	2	0	1	1	0	0	0	0
K07669	two-component system, OmpR family, response regulator MprA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K07675	two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K07678	two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	0	0	1	2	0	1	0	3	0	1	0	1	2	1	1	1	0
K07684	two-component system, NarL family, nitrate/nitrite response regulator NarL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07689	two-component system, NarL family, invasion response regulator UvrY	0	0	1	3	1	0	0	1	0	2	1	2	2	1	1	1	0
K07693	two-component system, NarL family, response regulator DesR	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
K07704	two-component system, LytT family, sensor histidine kinase LytS [EC:2.7.13.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K07705	two-component system, LytT family, response regulator LytT	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K07708	two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	0	1	1	3	1	0	0	1	0	1	1	2	1	3	0	0	0
K07711	two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]	0	1	1	3	1	0	1	1	0	1	1	2	0	1	2	0	0
K07712	two-component system, NtrC family, nitrogen regulation response regulator GlnG	0	2	0	4	2	0	1	2	0	2	0	1	2	3	0	1	0
K07713	two-component system, NtrC family, response regulator HydG	0	1	0	2	0	0	1	0	0	1	0	1	1	0	1	1	0
K07714	two-component system, NtrC family, response regulator AtoC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K07715	two-component system, NtrC family, response regulator GlrR	0	1	1	2	1	0	2	1	1	1	1	3	1	0	1	1	0
K07720	two-component system, response regulator YesN	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0
K07721	ArsR family transcriptional regulator	23	23	29	25	26	10	25	29	12	27	24	18	26	28	33	18	17
K07722	CopG family transcriptional regulator, nickel-responsive regulator	48	50	54	47	48	23	36	45	24	44	53	40	49	59	62	42	35
K07724	Ner family transcriptional regulator	0	1	1	4	1	0	0	1	0	2	1	0	1	0	0	1	0
K07725	CRISPR-associated protein Csa3	7	7	13	12	11	3	3	15	8	15	13	8	12	14	16	11	6
K07726	putative transcriptional regulator	1	2	1	1	0	0	1	0	0	1	1	0	0	2	1	2	0
K07727	putative transcriptional regulator	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
K07728	putative transcriptional regulator	21	27	34	33	23	8	24	23	5	25	26	16	34	38	39	23	23
K07729	putative transcriptional regulator	19	24	31	22	22	9	20	29	11	21	27	13	19	18	33	24	13
K07730	putative transcriptional regulator	31	36	37	31	28	15	27	29	14	30	35	26	34	31	38	27	23
K07731	putative transcriptional regulator	18	30	31	24	28	7	17	23	9	21	27	14	25	28	34	21	20
K07732	riboflavin kinase, archaea type [EC:2.7.1.161]	24	30	39	35	30	9	26	31	16	37	35	21	32	35	39	23	20
K07733	prophage regulatory protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K07735	putative transcriptional regulator	4	9	11	9	7	4	7	9	5	8	9	10	6	5	9	9	6
K07736	CarD family transcriptional regulator	2	3	1	2	2	1	1	2	1	2	1	1	1	1	2	2	2
K07738	transcriptional repressor NrdR	3	4	6	6	3	4	5	3	1	7	2	4	8	5	7	7	4
K07739	elongator complex protein 3 [EC:2.3.1.48]	26	28	46	32	23	12	27	32	10	33	30	14	37	34	44	26	23
K07742	uncharacterized protein	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K07743	transcriptional regulator	22	26	27	23	17	8	16	21	8	17	18	11	23	25	30	17	20
K07744	transcriptional regulator	18	34	34	33	22	13	24	26	13	24	26	10	33	24	36	21	18
K07746	antitoxin ParD1/3/4	0	1	3	4	0	1	2	2	1	2	2	1	1	2	0	2	0
K07749	formyl-CoA transferase [EC:2.8.3.16]	18	22	27	18	18	4	16	16	7	16	17	13	23	21	21	19	15
K07760	cyclin-dependent kinase [EC:2.7.11.22]	2	2	1	2	0	0	2	2	0	2	1	1	1	1	2	1	2
K07766	diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
K07767	katanin p60 ATPase-containing subunit A1 [EC:3.6.4.3]	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
K07769	two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
K07774	two-component system, OmpR family, response regulator TctD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K07775	two-component system, OmpR family, response regulator ResD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K07776	two-component system, OmpR family, response regulator RegX3	2	3	1	1	2	1	1	2	1	2	1	1	1	1	2	1	3
K07787	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA	0	4	4	4	1	1	1	1	0	1	0	2	5	1	2	1	0
K07793	putative tricarboxylic transport membrane protein	18	10	14	10	6	3	8	8	7	16	12	5	11	16	17	10	9
K07794	putative tricarboxylic transport membrane protein	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
K07795	putative tricarboxylic transport membrane protein	0	1	2	1	1	0	1	1	1	1	1	1	1	0	1	1	1
K07798	membrane fusion protein, Cu(I)/Ag(I) efflux system	0	1	0	4	0	0	0	0	0	0	0	4	0	0	1	1	0
K07814	putative two-component system response regulator	0	1	1	2	2	1	2	1	0	3	1	1	2	1	1	3	0
K07822	archaeal flagellar protein FlaC	9	5	4	2	1	0	1	4	2	2	1	0	1	1	8	1	4
K07874	Ras-related protein Rab-1A	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1
K07877	Ras-related protein Rab-2A	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0
K07889	Ras-related protein Rab-5C	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1
K07893	Ras-related protein Rab-6A	0	1	1	2	0	0	1	1	0	1	2	0	0	0	1	0	0
K07897	Ras-related protein Rab-7A	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1
K07901	Ras-related protein Rab-8A	0	2	2	2	1	0	2	2	0	2	2	2	2	2	2	2	2
K07934	intraflagellar transport protein 27	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
K07936	GTP-binding nuclear protein Ran	0	1	2	1	0	0	1	1	1	1	1	1	1	0	1	1	0
K07937	ADP-ribosylation factor 1	1	2	1	1	1	0	0	2	0	1	2	2	1	1	2	2	1
K07942	ADP-ribosylation factor-like protein 1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
K07943	ADP-ribosylation factor-like protein 2	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1
K07944	ADP-ribosylation factor-like protein 3	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
K07950	ADP-ribosylation factor-like protein 5B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K07952	ADP-ribosylation factor related protein 1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0
K07953	GTP-binding protein SAR1 [EC:3.6.5.-]	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
K07977	Arf/Sar family, other	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0
K07978	GntR family transcriptional regulator	2	5	4	6	3	5	4	3	3	4	4	6	5	4	4	6	3
K07979	GntR family transcriptional regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K07991	archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	27	29	33	34	28	10	22	29	9	29	31	16	39	24	30	21	18
K08057	calreticulin	1	1	0	1	1	0	1	1	1	1	1	1	1	2	1	1	0
K08065	nuclear transcription Y subunit beta	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0
K08066	nuclear transcription factor Y, gamma	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K08068	UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
K08076	astacin [EC:3.4.24.21]	0	0	1	0	1	1	0	2	0	0	1	2	1	0	0	0	0
K08077	UDP-sugar diphosphatase [EC:3.6.1.45]	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08080	CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]	0	0	2	1	1	1	2	2	0	2	3	0	0	2	1	3	0
K08081	tropinone reductase I [EC:1.1.1.206]	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1
K08082	two-component system, LytT family, sensor histidine kinase AlgZ [EC:2.7.13.3]	0	2	1	3	2	0	1	1	0	1	2	1	1	1	1	1	0
K08083	two-component system, LytT family, response regulator AlgR	0	1	1	3	2	0	1	1	0	1	1	2	0	1	1	1	0
K08084	type IV fimbrial biogenesis protein FimT	0	1	0	4	0	0	0	0	0	1	0	1	3	2	0	0	0
K08086	pilus assembly protein FimV	0	2	3	5	3	0	1	1	0	2	1	3	3	2	3	3	1
K08094	6-phospho-3-hexuloisomerase [EC:5.3.1.27]	1	0	1	2	1	0	1	1	0	2	0	1	2	1	2	0	0
K08096	GTP cyclohydrolase IIa [EC:3.5.4.29]	22	36	40	34	25	12	25	29	9	36	29	13	29	30	37	22	18
K08097	phosphosulfolactate synthase [EC:4.4.1.19]	7	6	10	8	6	4	9	5	6	8	7	5	5	7	7	7	4
K08138	MFS transporter, SP family, xylose:H+ symportor	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
K08139	MFS transporter, SP family, sugar:H+ symporter	2	3	4	8	5	3	4	2	2	4	3	7	6	2	3	6	2
K08145	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8	1	0	2	1	1	0	1	1	2	2	0	1	2	2	1	1	1
K08150	MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13	1	1	1	0	0	0	0	1	1	1	1	1	1	2	2	1	1
K08151	MFS transporter, DHA1 family, tetracycline resistance protein	0	1	1	2	0	0	0	1	1	0	2	1	0	0	1	3	1
K08161	MFS transporter, DHA1 family, multidrug resistance protein	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1
K08167	MFS transporter, DHA2 family, multidrug resistance protein	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0
K08177	MFS transporter, OFA family, oxalate/formate antiporter	19	20	28	22	19	10	24	17	11	14	27	14	23	31	20	16	11
K08193	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other	4	6	3	4	1	0	4	4	4	4	3	4	4	2	5	4	5
K08218	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	0	4	4	6	2	0	3	4	2	4	4	4	3	4	4	5	1
K08224	MFS transporter, YNFM family, putative membrane transport protein	0	0	0	3	2	1	2	1	2	2	3	2	3	4	0	2	0
K08226	MFS transporter, BCD family, chlorophyll transporter	1	1	1	2	1	1	1	1	1	1	1	1	3	4	1	1	1
K08232	monodehydroascorbate reductase (NADH) [EC:1.6.5.4]	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
K08234	glyoxylase I family protein	1	1	3	6	3	3	2	2	1	4	3	2	5	4	2	3	1
K08242	24-methylenesterol C-methyltransferase [EC:2.1.1.143]	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0
K08244	alpha-glucan, water dikinase [EC:2.7.9.4]	0	1	0	2	1	0	0	0	0	3	0	0	0	0	1	0	0
K08245	phytepsin [EC:3.4.23.40]	0	2	0	2	0	0	2	2	2	2	2	2	2	1	0	2	2
K08246	cycloeucalenol cycloisomerase [EC:5.5.1.9]	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K08252	receptor protein-tyrosine kinase [EC:2.7.10.1]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
K08253	non-specific protein-tyrosine kinase [EC:2.7.10.2]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K08256	phosphatidylinositol alpha-mannosyltransferase [EC:2.4.1.57]	2	3	2	2	2	2	2	2	2	3	1	3	3	2	4	1	2
K08260	adenosylcobinamide hydrolase [EC:3.5.1.90]	22	25	33	18	18	10	19	19	7	22	24	15	24	18	25	24	18
K08266	G protein beta subunit-like	0	1	1	1	0	0	1	1	1	1	1	1	1	2	1	1	1
K08272	calcium binding protein 39	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1
K08281	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	6	9	10	17	7	5	11	11	7	13	7	10	12	10	12	14	7
K08282	non-specific serine/threonine protein kinase [EC:2.7.11.1]	4	3	6	6	3	1	2	4	3	5	1	5	7	2	2	4	4
K08287	dual-specificity kinase [EC:2.7.12.1]	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1
K08289	phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]	0	1	0	0	1	2	3	1	0	4	2	0	2	3	2	0	1
K08294	mitogen-activated protein kinase kinase [EC:2.7.12.2]	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08295	2-aminobenzoate-CoA ligase [EC:6.2.1.32]	5	12	11	8	9	5	8	5	4	8	8	5	10	13	7	6	4
K08296	phosphohistidine phosphatase [EC:3.1.3.-]	2	2	3	7	2	1	3	3	1	6	3	4	6	5	4	3	2
K08299	crotonobetainyl-CoA hydratase [EC:4.2.1.149]	1	1	1	2	1	0	0	1	0	1	1	1	0	1	1	1	0
K08300	ribonuclease E [EC:3.1.26.12]	4	5	5	8	3	3	3	5	2	9	5	3	8	7	4	5	5
K08301	ribonuclease G [EC:3.1.26.-]	4	9	9	15	9	6	12	8	6	9	9	12	10	14	9	9	6
K08302	tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]	2	2	2	4	3	2	4	2	3	3	4	2	6	3	2	3	2
K08303	putative protease [EC:3.4.-.-]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08304	membrane-bound lytic murein transglycosylase A	1	2	1	2	1	1	1	2	1	1	3	1	2	1	2	1	1
K08305	membrane-bound lytic murein transglycosylase B	0	2	2	9	2	0	0	2	0	2	2	1	2	6	2	1	0
K08307	membrane-bound lytic murein transglycosylase D	4	11	12	23	6	5	10	10	5	10	10	16	10	12	8	14	4
K08309	soluble lytic murein transglycosylase [EC:3.2.1.-]	1	2	2	2	2	1	2	2	1	3	2	2	4	1	3	4	2
K08310	dATP pyrophosphohydrolase [EC:3.6.1.-]	1	3	3	5	2	3	3	2	1	4	3	5	6	5	1	2	1
K08311	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	0	1	1	3	1	0	1	1	0	2	1	1	1	3	1	1	0
K08312	ADP-ribose diphosphatase [EC:3.6.1.-]	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0
K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	2	6	7	12	7	6	8	6	3	7	5	8	10	8	5	6	3
